,username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
4,cerisecherry,2011,64,40,35-49,F,france,"{'Francaise': 10, 'Europeenne': 10, 'Italienne': 4, 'Suisse': 2, 'Pizza': 1, 'Mediterraneenne': 1}",4.11,3.9,3.84,3.63,2.18,0.0,1.78
18,Hypocras74,2011,79,194,35-49,H,france,"{'Europeenne': 8, 'Francaise': 7, 'Saine': 3, 'Bar': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Marocaine': 2, 'Libanaise': 2, 'Pub': 1, 'Irlandaise': 1, 'Cafe': 1, 'Bar_a_vins': 1}",4.12,4.12,4.12,3.95,3.51,0.09,1.93
19,ldj121,2012,41,36,None,None,france,"{'Francaise': 14, 'Europeenne': 10, 'Italienne': 5, 'Steakhouse': 4, 'Bar': 4, 'Americaine': 4, 'Pub': 3, 'Pizza': 3, 'Bar_a_bieres': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1}",3.59,3.32,3.33,3.24,1.41,0.0,1.75
26,mrscarovin,2013,49,27,None,None,None,"{'Europeenne': 5, 'Francaise': 4, 'Asiatique': 3, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Bar': 2, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Espagnole': 1, 'Campanie': 1, 'Cafe': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1}",4.23,2.6,2.6,2.49,1.56,0.09,1.93
29,didierg435,2015,457,217,35-49,H,france,"{'Francaise': 9, 'Europeenne': 7, 'Asiatique': 4, 'Suisse': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Cafe': 2, 'Sushi': 1, 'Restauration_rapide': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1}",3.94,3.46,3.44,3.34,2.36,0.0,1.77
67,idd42,2015,52,36,None,None,france,"{'Francaise': 3, 'Europeenne': 3, 'Pub': 1, 'Bar_a_bieres': 1, 'Bar': 1}",4.15,4.31,4.5,4.46,1.54,0.0,1.38
132,Anthonytrn,2016,12,8,None,None,france,"{'Francaise': 4, 'Europeenne': 3, 'Sushi': 1, 'Japonaise': 1, 'Italienne': 1, 'Bar': 1, 'Asiatique': 1}",3.95,3.98,3.98,3.64,1.86,0.0,2.0
137,florences857,2015,339,108,50-64,F,france,"{'Europeenne': 21, 'Francaise': 20, 'Italienne': 11, 'Mediterraneenne': 8, 'Cafe': 6, 'Pizza': 5, 'Internationale': 4, 'Bar': 4, 'Saine': 2, 'Pub': 2, 'Libanaise': 2, 'Suisse': 1, 'Soupes': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Moderne': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",3.85,3.76,3.54,3.29,2.42,0.04,2.01
159,davidrS6654ZV,2012,29,128,None,None,france,"{'Francaise': 6, 'Europeenne': 6, 'Suisse': 4, 'Pizza': 3, 'Italienne': 3, 'Saine': 2, 'Pub': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar': 1}",4.3,3.95,3.98,3.68,1.6,0.18,1.86
188,michelliebmann,2015,120,49,65+,H,portugal,"{'Europeenne': 12, 'Francaise': 10, 'Suisse': 6, 'Italienne': 6, 'Mediterraneenne': 5, 'Steakhouse': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Pub': 1, 'Pizza': 1, 'Japonaise': 1, 'Europe_centrale': 1, 'Cafe': 1, 'Asiatique': 1}",3.91,3.99,3.92,3.64,3.31,0.1,2.14
208,jullooo,2015,21,13,None,None,suisse,"{'Europeenne': 5, 'Francaise': 4, 'Saine': 2, 'Cafe': 2, 'Americaine': 2, 'Sushi': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Internationale': 1, 'Grillades': 1, 'Espagnole': 1, 'Bar': 1, 'Asiatique': 1}",4.17,4.28,4.28,3.89,2.17,0.0,2.11
210,boug74,2019,81,42,None,None,france,"{'Francaise': 13, 'Europeenne': 9, 'Bar': 4, 'Italienne': 3, 'Sicilienne': 2, 'Saine': 2, 'Pub': 2, 'Italie_du_Sud': 2, 'Toscane': 1, 'Thai': 1, 'Steakhouse': 1, 'Romana': 1, 'Latium': 1, 'Italie_du_Centre': 1, 'Asiatique': 1}",4.04,4.13,4.06,3.93,2.15,0.0,1.94
215,77-AL-74,2013,12,11,None,None,None,"{'Europeenne': 4, 'Francaise': 3, 'Mediterraneenne': 2, 'Tunisienne': 1, 'Suisse': 1, 'Steakhouse': 1, 'Pub': 1, 'Pizza': 1, 'Marocaine': 1, 'Italienne': 1, 'Brasserie_gastronomique': 1}",4.0,4.0,4.0,3.81,3.74,0.0,2.19
224,babsou74380,2015,24,23,None,None,france,"{'Francaise': 10, 'Europeenne': 10, 'Saine': 2, 'Italienne': 2, 'Fusion': 1, 'Brasserie_gastronomique': 1, 'Bar': 1}",4.16,4.25,4.21,3.7,2.77,0.22,2.63
231,scratchy73,2012,170,61,25-34,H,france,"{'Francaise': 11, 'Europeenne': 9, 'Pizza': 3, 'Italienne': 2, 'Bar': 2, 'Restauration_rapide': 1, 'Mediterraneenne': 1, 'Grillades': 1, 'Diner': 1, 'Brasserie_gastronomique': 1, 'Bar_a_vins': 1}",4.03,4.08,4.08,3.77,3.97,0.1,2.0
239,filoupet,2013,70,40,None,None,suisse,"{'Europeenne': 16, 'Francaise': 15, 'Suisse': 6, 'Internationale': 4, 'Bar': 3, 'Saine': 2, 'Pub': 2, 'Mediterraneenne': 2, 'Chinoise': 2, 'Cafe': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Italienne': 1, 'Europe_centrale': 1, 'Brasserie_gastronomique': 1, 'Belge': 1, 'Bar_a_vins': 1}",4.1,4.19,4.09,3.78,3.32,0.29,2.28
246,Manub74,2014,67,52,None,None,france,"{'Europeenne': 5, 'Francaise': 4, 'Suisse': 2, 'Bar': 2, 'Pub': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Italienne': 1, 'Internationale': 1}",4.28,4.17,4.28,3.78,4.22,0.0,2.0
255,Laurent_Lorr,2011,237,149,35-49,H,None,"{'Francaise': 33, 'Europeenne': 28, 'Suisse': 10, 'Italienne': 8, 'Pizza': 4, 'Saine': 3, 'Mediterraneenne': 2, 'Internationale': 2, 'Indienne': 2, 'Fusion': 2, 'Europe_centrale': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Steakhouse': 1, 'Pub': 1, 'Portugaise': 1, 'Pakistanaise': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.2,4.13,4.13,3.82,2.46,0.14,2.15
265,MarcS012,2010,229,158,None,None,suisse,"{'Europeenne': 25, 'Suisse': 18, 'Francaise': 14, 'Italienne': 13, 'Pizza': 8, 'Mediterraneenne': 4, 'Europe_centrale': 4, 'Traiteur': 3, 'Steakhouse': 3, 'Asiatique': 3, 'Thai': 2, 'Pub': 2, 'Americaine': 2, 'Saine': 1, 'Romana': 1, 'Restauration_rapide': 1, 'Napolitaine': 1, 'Lombarde': 1, 'Latium': 1, 'Italie_du_Sud': 1, 'Italie_du_Nord': 1, 'Italie_du_Centre': 1, 'Internationale': 1, 'Indienne': 1, 'Espagnole': 1, 'Chinoise': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar': 1}",4.2,4.04,3.91,3.84,2.66,0.0,2.01
273,339yvesc,2013,62,73,50-64,H,None,"{'Europeenne': 7, 'Suisse': 6, 'Francaise': 4, 'Traiteur': 1, 'Pub': 1, 'Pizza': 1, 'Europe_centrale': 1, 'Brasserie_gastronomique': 1}",4.07,4.15,4.06,3.85,2.24,0.0,2.0
301,Giwb,2010,22,31,50-64,None,france,"{'Francaise': 5, 'Europeenne': 3}",4.27,4.27,4.27,4.04,2.38,0.0,2.0
307,veronique2511,2014,9,11,None,None,None,"{'Francaise': 3, 'Europeenne': 3, 'Pub': 1, 'Bar_a_bieres': 1, 'Bar': 1}",4.28,4.28,4.28,4.06,3.39,0.0,1.89
327,emalisa,2016,83,52,None,None,suisse,"{'Europeenne': 17, 'Francaise': 15, 'Suisse': 9, 'Italienne': 6, 'Pizza': 5, 'Mediterraneenne': 4, 'Brasserie_gastronomique': 2, 'Bar_a_vins': 2, 'Bar': 2, 'Traiteur': 1, 'Toscane': 1, 'Saine': 1, 'Pub': 1, 'Japonaise': 1, 'Italie_du_Centre': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar_a_bieres': 1, 'Asiatique': 1, 'Americaine': 1}",4.06,4.08,3.96,3.71,3.09,0.1,1.98
334,cindy74100,2017,7,5,None,None,france,"{'Francaise': 3, 'Pub': 2, 'Europeenne': 2, 'Bar': 2, 'Restauration_rapide': 1, 'Cafe': 1}",3.75,2.94,2.88,2.69,2.31,0.0,1.88
349,SPG77,2007,166,309,35-49,H,france,"{'Europeenne': 57, 'Francaise': 46, 'Suisse': 22, 'Italienne': 14, 'Asiatique': 14, 'Pizza': 11, 'Mediterraneenne': 11, 'Japonaise': 9, 'Americaine': 6, 'Sushi': 5, 'Fusion': 5, 'Brasserie_gastronomique': 5, 'Restauration_rapide': 4, 'Grillades': 4, 'Chinoise': 4, 'Cafe': 4, 'Steakhouse': 3, 'Saine': 3, 'Peruvienne': 3, 'Moderne': 3, 'Latino': 3, 'Internationale': 3, 'Indienne': 3, 'Europe_centrale': 3, 'Thai': 2, 'Pakistanaise': 2, 'Libanaise': 2, 'Coreenne': 2, 'Amerique_centrale': 2, 'Africaine': 2, 'Ethiopienne': 1, 'Vietnamienne': 1, 'Toscane': 1, 'Tibetaine': 1, 'Portugaise': 1, 'Nepalaise': 1, 'Napolitaine': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Hawaienne': 1, 'Grecque': 1, 'Espagnole': 1, 'Diner': 1, 'Campanie': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Afghane': 1}",4.09,3.9,3.82,3.59,2.1,0.08,2.01
363,922magalim,2008,28,70,None,None,None,"{'Francaise': 5, 'Europeenne': 5, 'Americaine': 2, 'Vietnamienne': 1, 'Thai': 1, 'Steakhouse': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Libanaise': 1, 'Italienne': 1, 'Indienne': 1, 'Bar': 1, 'Asiatique': 1}",3.99,4.14,3.99,3.8,3.23,0.0,2.0
388,AntoineC765,2013,15,8,25-34,H,france,"{'Europeenne': 3, 'Suisse': 2, 'Moderne': 2, 'Francaise': 2, 'Asiatique': 2, 'Toscane': 1, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Fusion': 1, 'Europe_centrale': 1, 'Espagnole': 1, 'Bar': 1}",4.27,4.4,4.27,3.83,3.7,0.13,2.2
397,clarus13,2008,611,421,35-49,F,france,"{'Francaise': 6, 'Europeenne': 5, 'Suisse': 2, 'Peruvienne': 1, 'Latino': 1, 'Italienne': 1, 'Fusion': 1, 'Bar': 1, 'Amerique_centrale': 1}",4.29,4.29,4.08,3.79,2.84,0.0,2.29
