,username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
0,nathalieval1972,2021,10,2,None,None,None,"{'Restauration_rapide': 3, 'Francaise': 2, 'Europeenne': 2, 'Turque': 1, 'Sushi': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.64,2.74,2.67,2.73,0.57,0.0,1.31
4,cerisecherry,2011,64,40,35-49,F,france,"{'Francaise': 10, 'Europeenne': 10, 'Italienne': 4, 'Suisse': 2, 'Pizza': 1, 'Mediterraneenne': 1}",4.11,3.9,3.84,3.63,2.18,0.0,1.78
11,AuroreM8,2011,23,100,25-34,F,france,"{'Francaise': 6, 'Europeenne': 4, 'Chinoise': 4, 'Asiatique': 4, 'Japonaise': 3, 'Thai': 2, 'Restauration_rapide': 2, 'Bar': 2, 'Vietnamienne': 1, 'Turque': 1, 'Sushi': 1, 'Italienne': 1, 'Grillades': 1, 'Bar_a_vins': 1}",3.93,3.61,3.53,3.51,1.11,0.11,1.89
18,Hypocras74,2011,79,194,35-49,H,france,"{'Europeenne': 8, 'Francaise': 7, 'Saine': 3, 'Bar': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Marocaine': 2, 'Libanaise': 2, 'Pub': 1, 'Irlandaise': 1, 'Cafe': 1, 'Bar_a_vins': 1}",4.12,4.12,4.12,3.95,3.51,0.09,1.93
26,mrscarovin,2013,49,27,None,None,None,"{'Europeenne': 5, 'Francaise': 4, 'Asiatique': 3, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Bar': 2, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Espagnole': 1, 'Campanie': 1, 'Cafe': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1}",4.23,2.6,2.6,2.49,1.56,0.09,1.93
29,didierg435,2015,457,217,35-49,H,france,"{'Francaise': 9, 'Europeenne': 7, 'Asiatique': 4, 'Suisse': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Cafe': 2, 'Sushi': 1, 'Restauration_rapide': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1}",3.94,3.46,3.44,3.34,2.36,0.0,1.77
44,sylviajim,2022,2,2,None,None,None,"{'Restauration_rapide': 1, 'Americaine': 1}",2.67,3.0,2.67,3.0,0.0,0.0,1.33
57,ILOCEANE,2010,66,39,35-49,F,france,"{'Francaise': 13, 'Europeenne': 11, 'Italienne': 5, 'Suisse': 4, 'Pizza': 3, 'Internationale': 3, 'Restauration_rapide': 2, 'Americaine': 2, 'Saine': 1, 'Mediterraneenne': 1, 'Bar': 1}",3.79,3.83,3.77,3.72,2.94,0.06,2.0
92,fofiefontfec,2016,34,22,None,None,france,"{'Europeenne': 5, 'Restauration_rapide': 2, 'Pizza': 2, 'Italienne': 2, 'Francaise': 2, 'Turque': 1, 'Suisse': 1, 'Pub': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italie_du_Sud': 1, 'Campanie': 1, 'Bar': 1, 'Americaine': 1}",3.56,3.79,3.68,3.53,0.94,0.18,1.41
101,A5629BScatherined,2016,18,14,None,None,suisse,"{'Saine': 3, 'Francaise': 2, 'Restauration_rapide': 1, 'Moderne': 1, 'Internationale': 1, 'Europeenne': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.02,3.36,3.18,2.96,2.94,0.12,2.0
