,username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
0,nathalieval1972,2021,10,2,None,None,None,"{'Restauration_rapide': 3, 'Francaise': 2, 'Europeenne': 2, 'Turque': 1, 'Sushi': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.64,2.74,2.67,2.73,0.57,0.0,1.31
10,695guip,2015,105,29,35-49,H,france,"{'Francaise': 21, 'Europeenne': 16, 'Italienne': 12, 'Pizza': 6, 'Mediterraneenne': 6, 'Asiatique': 6, 'Japonaise': 5, 'Americaine': 5, 'Thai': 4, 'Restauration_rapide': 4, 'Fusion': 4, 'Bar': 4, 'Vietnamienne': 3, 'Saine': 3, 'Indienne': 3, 'Chinoise': 3, 'Toscane': 2, 'Sushi': 2, 'Suisse': 2, 'Pub': 2, 'Moderne': 2, 'Marocaine': 2, 'Lombarde': 2, 'Libanaise': 2, 'Italie_du_Nord': 2, 'Italie_du_Centre': 2, 'Bar_a_vins': 2, 'Tunisienne': 1, 'Pakistanaise': 1, 'Grillades': 1}",4.03,3.61,3.42,3.37,1.97,0.07,1.85
11,AuroreM8,2011,23,100,25-34,F,france,"{'Francaise': 6, 'Europeenne': 4, 'Chinoise': 4, 'Asiatique': 4, 'Japonaise': 3, 'Thai': 2, 'Restauration_rapide': 2, 'Bar': 2, 'Vietnamienne': 1, 'Turque': 1, 'Sushi': 1, 'Italienne': 1, 'Grillades': 1, 'Bar_a_vins': 1}",3.93,3.61,3.53,3.51,1.11,0.11,1.89
14,raffinement865,2017,9,5,None,None,france,"{'Francaise': 4, 'Europeenne': 2, 'Tunisienne': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Italienne': 1, 'Cafe': 1, 'Bar_a_vins': 1, 'Bar': 1, 'Americaine': 1}",4.16,4.16,4.14,3.82,1.64,0.0,1.91
16,Lilou1995,2019,32,22,None,None,None,"{'Francaise': 10, 'Europeenne': 7, 'Bar': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Steakhouse': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",4.18,4.24,4.19,4.08,1.91,0.0,1.9
19,ldj121,2012,41,36,None,None,france,"{'Francaise': 14, 'Europeenne': 10, 'Italienne': 5, 'Steakhouse': 4, 'Bar': 4, 'Americaine': 4, 'Pub': 3, 'Pizza': 3, 'Bar_a_bieres': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1}",3.59,3.32,3.33,3.24,1.41,0.0,1.75
44,sylviajim,2022,2,2,None,None,None,"{'Restauration_rapide': 1, 'Americaine': 1}",2.67,3.0,2.67,3.0,0.0,0.0,1.33
57,ILOCEANE,2010,66,39,35-49,F,france,"{'Francaise': 13, 'Europeenne': 11, 'Italienne': 5, 'Suisse': 4, 'Pizza': 3, 'Internationale': 3, 'Restauration_rapide': 2, 'Americaine': 2, 'Saine': 1, 'Mediterraneenne': 1, 'Bar': 1}",3.79,3.83,3.77,3.72,2.94,0.06,2.0
62,skizeb,2017,30,25,None,None,france,"{'Europeenne': 4, 'Francaise': 3, 'Americaine': 3, 'Suisse': 2, 'Restauration_rapide': 2, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1}",3.75,3.59,3.44,3.34,1.62,0.0,1.79
81,philip742,2014,21,13,None,None,france,"{'Francaise': 4, 'Europeenne': 3, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Americaine': 1}",3.92,4.38,4.23,4.12,0.0,0.54,2.08
91,visiteur974000,2017,10,6,None,None,None,"{'Francaise': 5, 'Europeenne': 4, 'Steakhouse': 3, 'Americaine': 2, 'Traiteur': 1, 'Portugaise': 1, 'Italienne': 1, 'Grillades': 1}",3.7,3.27,3.23,3.31,1.12,0.0,1.69
