,username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
334,cindy74100,2017,7,5,None,None,france,"{'Francaise': 3, 'Pub': 2, 'Europeenne': 2, 'Bar': 2, 'Restauration_rapide': 1, 'Cafe': 1}",3.75,2.94,2.88,2.69,2.31,0.0,1.88
348,paski1959,2016,44,20,None,None,suisse,"{'Europeenne': 19, 'Francaise': 12, 'Suisse': 10, 'Steakhouse': 3, 'Restauration_rapide': 3, 'Brasserie_gastronomique': 3, 'Americaine': 3, 'Saine': 2, 'Cafe': 2, 'Thai': 1, 'Portugaise': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar': 1, 'Asiatique': 1}",3.81,3.44,3.39,3.19,2.04,0.04,1.83
349,SPG77,2007,166,309,35-49,H,france,"{'Europeenne': 57, 'Francaise': 46, 'Suisse': 22, 'Italienne': 14, 'Asiatique': 14, 'Pizza': 11, 'Mediterraneenne': 11, 'Japonaise': 9, 'Americaine': 6, 'Sushi': 5, 'Fusion': 5, 'Brasserie_gastronomique': 5, 'Restauration_rapide': 4, 'Grillades': 4, 'Chinoise': 4, 'Cafe': 4, 'Steakhouse': 3, 'Saine': 3, 'Peruvienne': 3, 'Moderne': 3, 'Latino': 3, 'Internationale': 3, 'Indienne': 3, 'Europe_centrale': 3, 'Thai': 2, 'Pakistanaise': 2, 'Libanaise': 2, 'Coreenne': 2, 'Amerique_centrale': 2, 'Africaine': 2, 'Ethiopienne': 1, 'Vietnamienne': 1, 'Toscane': 1, 'Tibetaine': 1, 'Portugaise': 1, 'Nepalaise': 1, 'Napolitaine': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Hawaienne': 1, 'Grecque': 1, 'Espagnole': 1, 'Diner': 1, 'Campanie': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Afghane': 1}",4.09,3.9,3.82,3.59,2.1,0.08,2.01
350,Baby G,2014,71,46,None,None,suisse,"{'Francaise': 9, 'Europeenne': 8, 'Indienne': 4, 'Suisse': 3, 'Pakistanaise': 2, 'Americaine': 2, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Italienne': 1, 'Belge': 1, 'Bar': 1}",3.68,3.43,3.36,3.1,2.66,0.0,1.78
358,Benguetta,2014,25,15,25-34,H,suisse,"{'Europeenne': 11, 'Francaise': 9, 'Italienne': 5, 'Pizza': 3, 'Mediterraneenne': 3, 'Suisse': 1, 'Napolitaine': 1, 'Italie_du_Sud': 1, 'Campanie': 1, 'Bar_a_vins': 1}",4.26,4.34,4.25,3.99,3.69,0.2,2.28
363,922magalim,2008,28,70,None,None,None,"{'Francaise': 5, 'Europeenne': 5, 'Americaine': 2, 'Vietnamienne': 1, 'Thai': 1, 'Steakhouse': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Libanaise': 1, 'Italienne': 1, 'Indienne': 1, 'Bar': 1, 'Asiatique': 1}",3.99,4.14,3.99,3.8,3.23,0.0,2.0
368,mai-lou d,2014,70,41,None,None,france,"{'Francaise': 11, 'Europeenne': 10, 'Indienne': 3, 'Steakhouse': 2, 'Pakistanaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Grillades': 1, 'Fusion': 1, 'Europe_centrale': 1, 'Americaine': 1}",4.07,4.18,4.06,3.71,3.28,0.12,2.13
408,899cl_mencef,2016,18,34,None,None,france,"{'Europeenne': 8, 'Francaise': 7, 'Sushi': 1, 'Steakhouse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.99,4.05,4.04,3.81,3.92,0.24,2.38
419,818c_lined,2016,31,21,None,None,france,"{'Francaise': 11, 'Europeenne': 10, 'Suisse': 2, 'Steakhouse': 2, 'Pub': 2, 'Brasserie_gastronomique': 2, 'Saine': 1}",3.82,4.08,4.08,3.43,2.91,0.0,2.52
444,SwissTesting,2013,98,49,25-34,H,suisse,"{'Europeenne': 15, 'Francaise': 13, 'Asiatique': 5, 'Chinoise': 4, 'Vietnamienne': 3, 'Thai': 3, 'Italienne': 3, 'Suisse': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Bar': 2, 'Turque': 1, 'Sushi': 1, 'Steakhouse': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italie_du_Sud': 1, 'Europe_centrale': 1, 'Campanie': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Bar_a_bieres': 1}",3.88,4.01,3.84,3.71,3.03,0.12,2.01
468,721oliviera,2014,10,7,None,None,None,"{'Francaise': 2, 'Europeenne': 2, 'Steakhouse': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Latino': 1, 'Italienne': 1, 'Espagnole': 1, 'Diner': 1, 'Bresilienne': 1}",3.88,3.77,3.77,3.48,2.23,0.0,2.0
469,sebae2013,2013,8,9,None,None,france,"{'Europeenne': 3, 'Portugaise': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Francaise': 1}",4.45,4.4,4.4,4.2,3.85,0.0,2.0
498,Belzebuth,2008,330,231,50-64,F,suisse,"{'Europeenne': 45, 'Francaise': 41, 'Suisse': 20, 'Italienne': 14, 'Pizza': 8, 'Mediterraneenne': 6, 'Europe_centrale': 5, 'Steakhouse': 3, 'Moderne': 3, 'Restauration_rapide': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Traiteur': 1, 'Thai': 1, 'Mexicaine': 1, 'Internationale': 1, 'Diner': 1, 'Chinoise': 1, 'Cafe': 1, 'Amerique_centrale': 1, 'Americaine': 1}",3.99,3.85,3.87,3.65,2.57,0.08,2.04
501,xMarchou,2013,42,4,25-34,H,france,"{'Francaise': 3, 'Europeenne': 2, 'Americaine': 2, 'Steakhouse': 1, 'Pizza': 1, 'Mexicaine': 1, 'Italienne': 1, 'Chinoise': 1, 'Bar': 1, 'Asiatique': 1, 'Amerique_centrale': 1}",3.79,3.86,3.91,3.83,3.69,0.0,1.86
518,Nicook,2010,31,13,None,None,None,"{'Francaise': 7, 'Japonaise': 4, 'Europeenne': 4, 'Asiatique': 4, 'Sushi': 3, 'Pakistanaise': 3, 'Indienne': 3, 'Chinoise': 3, 'Turque': 2, 'Restauration_rapide': 2, 'Pizza': 2, 'Mediterraneenne': 2, 'Italienne': 2, 'Vietnamienne': 1, 'Steakhouse': 1, 'Pub': 1, 'Marocaine': 1, 'Libanaise': 1, 'Grillades': 1, 'Fusion': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",3.78,3.86,3.8,3.8,1.81,0.02,1.62
528,euhjustme,2012,54,109,50-64,F,france,"{'Francaise': 16, 'Europeenne': 9, 'Indienne': 8, 'Chinoise': 7, 'Asiatique': 7, 'Restauration_rapide': 5, 'Vietnamienne': 4, 'Pakistanaise': 4, 'Japonaise': 4, 'Americaine': 4, 'Tunisienne': 3, 'Steakhouse': 3, 'Saine': 3, 'Mediterraneenne': 3, 'Marocaine': 3, 'Thai': 2, 'Sushi': 2, 'Bar': 2, 'Turque': 1, 'Pub': 1, 'Cafe': 1}",3.66,3.73,3.79,3.71,2.14,0.08,1.77
537,shandi74,2014,21,8,50-64,H,france,"{'Francaise': 8, 'Europeenne': 7, 'Restauration_rapide': 4, 'Turque': 3, 'Japonaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Tunisienne': 1, 'Steakhouse': 1, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Italienne': 1, 'Bar': 1, 'Americaine': 1}",3.4,3.38,3.42,3.52,2.91,0.0,1.56
542,Tubalcain65,2017,83,40,50-64,H,suisse,"{'Francaise': 38, 'Europeenne': 38, 'Suisse': 28, 'Italienne': 4, 'Brasserie_gastronomique': 4, 'Steakhouse': 3, 'Europe_centrale': 3, 'Pub': 2, 'Pizza': 2, 'Grillades': 2, 'Bar': 2, 'Americaine': 2, 'Saine': 1, 'Mediterraneenne': 1}",4.04,3.95,3.9,3.69,2.02,0.1,2.11
543,Servette83,2017,9,9,None,None,france,"{'Francaise': 2, 'Suisse': 1, 'Steakhouse': 1, 'Pub': 1, 'Italienne': 1, 'Europeenne': 1, 'Brasserie_gastronomique': 1}",3.84,3.41,3.41,3.41,3.41,0.0,1.75
546,JeanMichelB81,2012,49,118,None,None,None,"{'Francaise': 7, 'Europeenne': 5, 'Asiatique': 5, 'Japonaise': 4, 'Chinoise': 4, 'Vietnamienne': 3, 'Thai': 3, 'Mediterraneenne': 2, 'Italienne': 2, 'Sushi': 1, 'Steakhouse': 1, 'Saine': 1, 'Pizza': 1, 'Marocaine': 1, 'Grillades': 1, 'Fusion': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",3.66,3.65,3.65,3.56,1.6,0.0,1.81
550,jeanmarcb291,2015,116,69,None,None,None,"{'Francaise': 25, 'Europeenne': 23, 'Italienne': 4, 'Bar': 3, 'Brasserie_gastronomique': 2, 'Toscane': 1, 'Suisse': 1, 'Sicilienne': 1, 'Saine': 1, 'Romana': 1, 'Restaurants_de_biere': 1, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Latium': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.04,4.15,4.1,3.83,3.11,0.03,2.12
563,albane20,2016,70,45,None,None,france,"{'Francaise': 11, 'Europeenne': 6, 'Indienne': 4, 'Pizza': 3, 'Pakistanaise': 3, 'Japonaise': 3, 'Italienne': 3, 'Asiatique': 3, 'Sushi': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Chinoise': 1}",4.1,4.26,4.2,4.05,3.02,0.0,1.86
570,119fannyf,2015,137,80,None,None,france,"{'Europeenne': 13, 'Francaise': 10, 'Mediterraneenne': 7, 'Italienne': 5, 'Libanaise': 3, 'Saine': 2, 'Pizza': 2, 'Indienne': 2, 'Brasserie_gastronomique': 2, 'Traiteur': 1, 'Suisse': 1, 'Steakhouse': 1, 'Soupes': 1, 'Pub': 1, 'Moderne': 1, 'Internationale': 1, 'Hawaienne': 1, 'Fusion': 1}",4.12,4.07,3.9,3.82,3.37,0.1,2.01
575,pierrepB1853OZ,2016,220,100,None,None,france,"{'Europeenne': 45, 'Francaise': 39, 'Italienne': 29, 'Pizza': 19, 'Mediterraneenne': 19, 'Suisse': 7, 'Bar': 4, 'Americaine': 4, 'Steakhouse': 3, 'Japonaise': 3, 'Chinoise': 3, 'Asiatique': 3, 'Marocaine': 2, 'Lombarde': 2, 'Italie_du_Nord': 2, 'Internationale': 2, 'Vietnamienne': 1, 'Turque': 1, 'Tunisienne': 1, 'Toscane': 1, 'Thai': 1, 'Sushi': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Napolitaine': 1, 'Mexicaine': 1, 'Libanaise': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Espagnole': 1, 'Diner': 1, 'Campanie': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Amerique_centrale': 1}",3.64,3.73,3.67,3.54,2.75,0.04,1.95
576,beer-thome,2015,169,68,35-49,H,suisse,"{'Europeenne': 29, 'Francaise': 19, 'Suisse': 10, 'Pub': 7, 'Mediterraneenne': 7, 'Italienne': 7, 'Bar': 7, 'Americaine': 6, 'Pizza': 4, 'Steakhouse': 3, 'Perse': 3, 'Libanaise': 3, 'Internationale': 3, 'Restauration_rapide': 2, 'Mexicaine': 2, 'Grillades': 2, 'Fusion': 2, 'Europe_centrale': 2, 'Brasserie_gastronomique': 2, 'Ethiopienne': 1, 'Saine': 1, 'Romana': 1, 'Moderne': 1, 'Marocaine': 1, 'Latium': 1, 'Italie_du_Centre': 1, 'Diner': 1, 'Croate': 1, 'Bar_a_bieres': 1, 'Africaine': 1, 'Afghane': 1}",3.88,3.77,3.7,3.63,2.53,0.02,1.92
580,travaillac,2010,61,48,65+,H,None,"{'Francaise': 10, 'Europeenne': 9, 'Vietnamienne': 1, 'Thai': 1, 'Steakhouse': 1, 'Saine': 1, 'Mexicaine': 1, 'Japonaise': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Amerique_centrale': 1, 'Americaine': 1}",3.86,3.94,3.98,3.76,3.15,0.11,2.02
603,Kimico1201,2014,376,137,25-34,F,suisse,"{'Europeenne': 27, 'Francaise': 26, 'Asiatique': 15, 'Suisse': 11, 'Bar': 11, 'Pizza': 7, 'Chinoise': 7, 'Pub': 6, 'Italienne': 6, 'Internationale': 6, 'Thai': 5, 'Japonaise': 4, 'Cafe': 4, 'Americaine': 4, 'Restauration_rapide': 3, 'Mediterraneenne': 3, 'Bar_a_vins': 3, 'Moderne': 2, 'Grillades': 2, 'Diner': 2, 'Vietnamienne': 1, 'Turque': 1, 'Tibetaine': 1, 'Sushi': 1, 'Steakhouse': 1, 'Saine': 1, 'Mexicaine': 1, 'Indienne': 1, 'Espagnole': 1, 'Coreenne': 1, 'Brasserie_gastronomique': 1}",3.74,3.52,3.47,3.29,1.99,0.02,1.86
614,Samir E,2016,28,14,None,None,None,"{'Japonaise': 2, 'Francaise': 2, 'Europeenne': 2, 'Chinoise': 2, 'Asiatique': 2, 'Americaine': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suedoise': 1, 'Suisse': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Africaine': 1}",3.12,3.17,3.22,3.44,0.95,0.0,1.37
629,Clock d,2013,62,18,None,None,None,"{'Asiatique': 31, 'Chinoise': 23, 'Japonaise': 14, 'Europeenne': 11, 'Vietnamienne': 10, 'Sushi': 6, 'Francaise': 6, 'Thai': 5, 'Steakhouse': 5, 'Soupes': 5, 'Turque': 4, 'Italienne': 4, 'Suisse': 3, 'Restauration_rapide': 3, 'Mediterraneenne': 3, 'Americaine': 3, 'Pizza': 2, 'Internationale': 2, 'Grillades': 2, 'Cafe': 2, 'Saine': 1, 'Libanaise': 1, 'Latino': 1, 'Indienne': 1, 'Bresilienne': 1, 'Bar': 1}",3.64,3.82,3.67,3.72,1.88,0.03,1.61
637,17fabriced,2014,38,26,None,None,suisse,"{'Francaise': 11, 'Europeenne': 9, 'Chinoise': 4, 'Asiatique': 4, 'Mediterraneenne': 3, 'Japonaise': 3, 'Italienne': 3, 'Bar': 3, 'Suisse': 2, 'Pub': 2, 'Pizza': 2, 'Indienne': 2, 'Vietnamienne': 1, 'Tunisienne': 1, 'Thai': 1, 'Sushi': 1, 'Steakhouse': 1, 'Pakistanaise': 1, 'Marocaine': 1, 'Belge': 1, 'Bar_a_bieres': 1, 'Americaine': 1}",3.42,3.21,3.21,3.3,2.59,0.04,1.61
655,432marcl,2014,201,92,35-49,H,france,"{'Francaise': 4, 'Europeenne': 4, 'Italienne': 3, 'Pub': 2, 'Mediterraneenne': 2, 'Indienne': 2, 'Turque': 1, 'Tunisienne': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Marocaine': 1, 'Japonaise': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1}",3.69,3.84,3.89,3.76,2.96,0.0,1.81
656,Vmean,2014,28,11,None,None,suisse,"{'Suisse': 4, 'Europeenne': 4, 'Chinoise': 4, 'Asiatique': 4, 'Francaise': 3, 'Steakhouse': 2, 'Italienne': 2, 'Pub': 1, 'Portugaise': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Brasserie_gastronomique': 1, 'Bar': 1, 'Americaine': 1}",3.6,3.24,3.12,3.07,3.03,0.0,1.78
663,RealionelB,2014,54,22,None,None,None,"{'Francaise': 18, 'Europeenne': 14, 'Asiatique': 4, 'Americaine': 4, 'Steakhouse': 3, 'Restauration_rapide': 3, 'Pizza': 3, 'Italienne': 3, 'Pub': 2, 'Chinoise': 2, 'Bar': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Mexicaine': 1, 'Japonaise': 1, 'Indienne': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Amerique_centrale': 1}",3.72,3.87,3.83,3.72,3.09,0.04,1.69
674,aulocam,2013,32,17,None,None,france,"{'Francaise': 4, 'Japonaise': 3, 'Europeenne': 3, 'Asiatique': 3, 'Fusion': 2, 'Chinoise': 2, 'Vietnamienne': 1, 'Thai': 1, 'Sushi': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Latino': 1, 'Indienne': 1, 'Diner': 1, 'Bresilienne': 1, 'Americaine': 1}",3.89,3.99,3.94,3.81,3.58,0.07,1.88
679,c_lineg59,2016,17,9,None,None,france,"{'Francaise': 6, 'Europeenne': 4, 'Pizza': 3, 'Italienne': 3, 'Suisse': 1, 'Steakhouse': 1, 'Saine': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Indienne': 1, 'Americaine': 1}",3.73,3.71,3.74,3.64,1.88,0.03,2.03
714,123emilied,2015,11,7,None,None,None,"{'Vietnamienne': 2, 'Sushi': 2, 'Japonaise': 2, 'Italienne': 2, 'Grillades': 2, 'Chinoise': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Pizza': 1, 'Francaise': 1, 'Americaine': 1}",3.58,3.58,3.62,3.65,0.69,0.0,1.46
735,ana-rgr,2016,49,35,None,None,france,"{'Francaise': 6, 'Europeenne': 4, 'Bar': 1}",4.17,4.07,4.19,4.02,4.1,0.0,1.95
756,anglade2015,2015,20,8,None,None,france,"{'Europeenne': 3, 'Pizza': 2, 'Italienne': 2, 'Francaise': 2, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Mediterraneenne': 1, 'Indienne': 1, 'Bar': 1, 'Americaine': 1}",3.29,3.41,3.33,3.43,2.67,0.0,1.8
758,autan74,2015,116,54,25-34,F,france,"{'Francaise': 6, 'Europeenne': 5, 'Sushi': 1, 'Suisse': 1, 'Steakhouse': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.55,3.64,3.68,3.57,3.15,0.0,1.95
761,Tomtom-130576,2012,7,5,35-49,H,suisse,"{'Francaise': 2, 'Europeenne': 2, 'Suisse': 1, 'Steakhouse': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Argentine': 1}",3.8,4.05,3.85,3.4,3.6,0.0,1.9
794,and0lini347,2018,15,13,None,None,france,"{'Francaise': 2, 'Steakhouse': 1, 'Saine': 1, 'Pizza': 1, 'Italienne': 1, 'Europeenne': 1, 'Americaine': 1}",4.0,3.85,4.0,3.7,1.1,0.0,1.7
815,rise203,2018,8,5,None,None,suisse,"{'Chinoise': 5, 'Asiatique': 5, 'Japonaise': 4, 'Thai': 3, 'Francaise': 2, 'Europeenne': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Bar': 1, 'Americaine': 1}",2.96,2.71,2.69,2.79,0.52,0.0,1.77
830,lefaage,2013,16,29,None,None,france,"{'Japonaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Sushi': 1, 'Steakhouse': 1, 'Pub': 1, 'Francaise': 1, 'Europeenne': 1, 'Bar': 1, 'Americaine': 1}",3.4,3.5,3.4,3.7,0.8,0.0,1.7
832,UfOrCuS,2012,234,75,35-49,H,france,"{'Francaise': 13, 'Italienne': 12, 'Europeenne': 12, 'Asiatique': 11, 'Restauration_rapide': 9, 'Pizza': 9, 'Mediterraneenne': 8, 'Indienne': 7, 'Chinoise': 7, 'Americaine': 7, 'Thai': 6, 'Vietnamienne': 5, 'Pakistanaise': 5, 'Japonaise': 5, 'Bar': 5, 'Libanaise': 4, 'Sushi': 3, 'Suisse': 3, 'Bar_a_bieres': 3, 'Traiteur': 2, 'Steakhouse': 2, 'Saine': 2, 'Pub': 2, 'Turque': 1, 'Tunisienne': 1, 'Toscane': 1, 'Mexicaine': 1, 'Marocaine': 1, 'Latino': 1, 'Italie_du_Centre': 1, 'Fusion': 1, 'Diner': 1, 'Cafe': 1, 'Bresilienne': 1, 'Belge': 1, 'Amerique_centrale': 1, 'Africaine': 1}",3.7,3.6,3.48,3.5,1.63,0.02,1.65
834,828romaing,2012,18,16,25-34,H,france,"{'Francaise': 5, 'Europeenne': 4, 'Sushi': 2, 'Japonaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Saine': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1}",3.91,4.16,4.05,3.97,2.7,0.0,1.72
865,alisong282,2015,42,27,None,None,france,"{'Francaise': 9, 'Europeenne': 6, 'Steakhouse': 2, 'Restauration_rapide': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Bar': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Americaine': 1}",3.43,3.56,3.43,3.4,1.3,0.0,1.85
