,username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
64,La-et-tii,2018,14,7,None,None,france,"{'Francaise': 5, 'Asiatique': 3, 'Pizza': 2, 'Italienne': 2, 'Europeenne': 2, 'Vietnamienne': 1, 'Turque': 1, 'Thai': 1, 'Sushi': 1, 'Saine': 1, 'Nepalaise': 1, 'Japonaise': 1, 'Indienne': 1, 'Chinoise': 1}",4.3,2.5,2.5,2.5,1.12,0.0,1.61
71,724candicec,2021,3,2,None,None,None,"{'Francaise': 2, 'Europeenne': 2, 'Sushi': 1, 'Japonaise': 1, 'Asiatique': 1}",4.12,4.38,4.38,4.0,2.0,0.0,1.75
95,L9955MVmariet,2015,30,19,None,None,france,"{'Francaise': 8, 'Europeenne': 6, 'Steakhouse': 2, 'Asiatique': 2, 'Americaine': 2, 'Thai': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Bar': 1}",3.89,3.71,3.6,3.4,2.12,0.0,1.91
99,didi927,2014,51,41,18-24,None,france,"{'Francaise': 2, 'Venezuelienne': 1, 'Sushi': 1, 'Saine': 1, 'Peruvienne': 1, 'Pakistanaise': 1, 'Mexicaine': 1, 'Latino': 1, 'Japonaise': 1, 'Internationale': 1, 'Indienne': 1, 'Colombienne': 1, 'Asiatique': 1}",4.24,2.78,2.71,2.47,1.86,0.17,1.66
110,fjv1975,2015,91,43,None,None,france,"{'Francaise': 9, 'Europeenne': 5, 'Saine': 4, 'Suisse': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",3.88,3.66,3.56,3.35,2.43,0.32,2.04
132,Anthonytrn,2016,12,8,None,None,france,"{'Francaise': 4, 'Europeenne': 3, 'Sushi': 1, 'Japonaise': 1, 'Italienne': 1, 'Bar': 1, 'Asiatique': 1}",3.95,3.98,3.98,3.64,1.86,0.0,2.0
147,858laurel,2017,11,7,None,None,republique tcheque,"{'Francaise': 2, 'Europeenne': 2, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.14,4.18,4.18,3.73,3.95,0.0,1.91
151,64Arnaud74,2007,115,93,None,None,france,"{'Francaise': 26, 'Europeenne': 18, 'Italienne': 4, 'Suisse': 2, 'Bar': 2, 'Americaine': 2, 'Saine': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Moderne': 1, 'Japonaise': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1}",4.21,3.92,3.92,3.66,2.39,0.06,1.98
155,neyka,2012,15,340,None,None,None,"{'Europeenne': 2, 'Sushi': 1, 'Pakistanaise': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Francaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.16,4.16,4.16,3.84,3.75,0.0,2.0
173,Happylife74,2015,76,47,None,None,france,"{'Francaise': 3, 'Mediterraneenne': 2, 'Europeenne': 2, 'Tunisienne': 1, 'Sushi': 1, 'Pakistanaise': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Indienne': 1, 'Fusion': 1, 'Asiatique': 1, 'Americaine': 1}",4.02,4.12,4.07,3.86,2.48,0.0,2.0
181,Charleneloanne,2015,10,6,None,None,france,"{'Francaise': 4, 'Europeenne': 4, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.3,4.37,4.37,3.93,3.93,0.0,1.87
188,michelliebmann,2015,120,49,65+,H,portugal,"{'Europeenne': 12, 'Francaise': 10, 'Suisse': 6, 'Italienne': 6, 'Mediterraneenne': 5, 'Steakhouse': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Pub': 1, 'Pizza': 1, 'Japonaise': 1, 'Europe_centrale': 1, 'Cafe': 1, 'Asiatique': 1}",3.91,3.99,3.92,3.64,3.31,0.1,2.14
192,Alex3826,2013,62,41,None,None,france,"{'Francaise': 5, 'Europeenne': 4, 'Japonaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Suisse': 1, 'Pub': 1, 'Grillades': 1, 'Bar': 1}",3.54,3.73,3.68,3.57,2.62,0.0,1.61
202,corsicananou,2013,131,94,50-64,F,france,"{'Francaise': 6, 'Europeenne': 5, 'Indienne': 2, 'Suisse': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Asiatique': 1}",3.88,4.13,3.98,3.67,3.44,0.12,2.02
